header|season_name|round_name|group_name|match_id|date|team_a|team_b|team_a_score|team_b_score|result_type|reg_result|final_result|match_details_url
Matches|2012/2013|Torneo Inicial||1338861|2012-11-24T20:00:00+00:00|Independiente|River Plate|2|2|R|D||/matches/2012/11/24/argentina/primera-division/ca-independiente/club-atletico-river-plate/1338861/
Matches|2012/2013|Torneo Inicial||1338868|2012-11-24T20:00:00+00:00|Unión Santa Fe|Newell's Old Boys|2|2|R|D||/matches/2012/11/24/argentina/primera-division/ca-union-de-santa-fe/newell-s-old-boys/1338868/
Matches|2012/2013|Torneo Inicial||1338863|2012-11-24T22:15:00+00:00|San Martín Sa…|Belgrano|1|1|R|D||/matches/2012/11/24/argentina/primera-division/ca-san-martin-de-san-juan/ca-belgrano-de-cordoba/1338863/
Matches|2012/2013|Torneo Inicial||1338860|2012-11-25T00:30:00+00:00|Argentinos Juniors|San Lorenzo|1|2|R|B||/matches/2012/11/25/argentina/primera-division/argentinos-juniors/club-atletico-san-lorenzo-de-almagro/1338860/
Matches|2012/2013|Torneo Inicial||1338862|2012-11-25T20:00:00+00:00|Lanús|Estudiantes|0|0|R|D||/matches/2012/11/25/argentina/primera-division/ca-lanus/estudiantes-de-la-plata/1338862/
Matches|2012/2013|Torneo Inicial||1338864|2012-11-25T20:00:00+00:00|Tigre|Godoy Cruz|2|0|R|A||/matches/2012/11/25/argentina/primera-division/club-atletico-tigre/godoy-cruz-antonio-tomba/1338864/
Matches|2012/2013|Torneo Inicial||1338867|2012-11-25T20:00:00+00:00|All Boys|Vélez Sarsfield|0|2|R|B||/matches/2012/11/25/argentina/primera-division/club-atletico-all-boys/club-atletico-velez-sarsfield/1338867/
Matches|2012/2013|Torneo Inicial||1338866|2012-11-25T22:15:00+00:00|Boca Juniors|Racing Club|3|1|R|A||/matches/2012/11/25/argentina/primera-division/boca-juniors/racing-club-de-avellaneda/1338866/
Matches|2012/2013|Torneo Inicial||1338865|2012-11-26T22:15:00+00:00|Quilmes|Arsenal|1|2|R|B||/matches/2012/11/26/argentina/primera-division/quilmes-atletico-club/arsenal-de-sarandi/1338865/
Matches|2012/2013|Torneo Inicial||1338869|2012-11-27T00:30:00+00:00|Atlético Rafaela|Colón|2|0|R|A||/matches/2012/11/27/argentina/primera-division/atletico-de-rafaela/colon-de-santa-fe/1338869/
