competition_id|name|soccertype|teamtype|display_order|type|format|area_id|area_name|countrycode
415|Algarve Cup|women|women|542|international|International cup|1|World|
533|Arab Champions League|default|default|300|club|International cup|1|World|
759|CAC Games|default|default|650|international|International cup|1|World|
816|CAC Games Women|women|women|670|international|International cup|1|World|
732|Club Friendlies|default|default|902|club|International cup|1|World|
246|Confederations Cup|default|default|80|international|International cup|1|World|
1014|Cyprus Cup|women|women|545|international|International cup|1|World|
284|FIFA Club World Cup|default|default|260|club|International cup|1|World|
430|Friendlies|default|default|901|international|International cup|1|World|
456|Friendly (women)|women|women|546|international|International cup|1|World|
167|Inter Continental Cup|default|default|270|club|International cup|1|World|
275|Kirin Cup|default|default|500|international|International cup|1|World|
221|Olympics|youth|youth|180|international|International cup|1|World|
645|Olympics Women|women|women|600|international|International cup|1|World|
760|Pan American Games|default|default|255|international|International cup|1|World|
988|Pan Arab Games|default|default|260|international|International cup|1|World|
711|Pan-Pacific Championship|default|default|350|club|International cup|1|World|
836|Suruga Bank Championship|default|default|380|club|International cup|1|World|
1049|U17 Arab Championship|youth|youth|350|international|International cup|1|World|
832|U17 Women's World Cup|women|women|560|international|International cup|1|World|
365|U17 World Cup|youth|youth|250|international|International cup|1|World|
1053|U20 Arab Championship|youth|youth|340|international|International cup|1|World|
455|U20 Women's World Cup|women|women|552|international|International cup|1|World|
274|U20 World Cup|youth|youth|230|international|International cup|1|World|
375|WC Qualification Intercontinental Play-offs|default|default|70|international|International cup|1|World|
774|Women's Pan American Games|women|women|600|international|International cup|1|World|
368|Women's World Cup|women|women|500|international|International cup|1|World|
876|Womens WC Qualification Intercontinental Play-offs |women|women|100|international|International cup|1|World|
72|World Cup|default|default|0|international|International cup|1|World|
281|World Youth Festival Toulon|youth|youth|205|international|International cup|1|World|
417|AFC Challenge Cup|default|default|15|international|International cup|2|Asia|
251|AFC Champions League|default|default|10|club|International cup|2|Asia|
253|AFC Cup|default|default|30|club|International cup|2|Asia|
713|AFC President's Cup|default|default|51|club|International cup|2|Asia|
834|AFC U17 Championship|youth|youth|430|international|International cup|2|Asia|
831|AFC U19 Championship|youth|youth|420|international|International cup|2|Asia|
1018|AFC U22 Asian Cup|youth|youth|410|international|International cup|2|Asia|
1062|AFF Women's Championship|women|women|480|international|International cup|2|Asia|
511|ASEAN Football Championship|default|default|18|international|International cup|2|Asia|
250|Asian Cup|default|default|5|international|International cup|2|Asia|
766|Asian Cup|women|women|450|international|International cup|2|Asia|
1060|Asian Cup Qualification|default|default|40|international|International cup|2|Asia|
490|Asian Games|default|default|10|international|International cup|2|Asia|
869|Asian Games Women|women|women|460|international|International cup|2|Asia|
815|EAFF East Asian Cup|default|default|19|international|International cup|2|Asia|
773|GCC Champions League|default|default|100|club|International cup|2|Asia|
516|Gulf Cup|default|default|22|international|International cup|2|Asia|
1067|Gulf Cup U17|youth|youth|440|international|International cup|2|Asia|
1084|Gulf Olympic Cup|default|default|390|international|International cup|2|Asia|
843|Nehru Cup|default|default|190|international|International cup|2|Asia|
844|SAFF Championship|default|default|400|international|International cup|2|Asia|
1061|SAFF Women's Championship|women|women|470|international|International cup|2|Asia|
969|Southeast Asian Games|default|default|310|international|International cup|2|Asia|
229|WC Qualification Asia|default|default|8|international|International cup|2|Asia|
841|West Asian Federation Championship|default|default|21|international|International cup|2|Asia|
385|Africa Cup of Nations|default|default|10|international|International cup|3|Africa|
1004|Africa Cup of Nations Qualification|default|default|60|international|International cup|3|Africa|
695|African Nations Championship|default|default|70|international|International cup|3|Africa|
769|African Women's Championship|women|women|510|international|International cup|3|Africa|
913|All Africa Games|default|default|100|international|International cup|3|Africa|
256|CAF Champions League|default|default|30|club|International cup|3|Africa|
536|CAF Confederation Cup|default|default|40|club|International cup|3|Africa|
710|CAF Super Cup|default|default|50|club|International super cup|3|Africa|
830|CAF U17 Championship|youth|youth|90|international|International cup|3|Africa|
828|CAF U20 Championship|youth|youth|80|international|International cup|3|Africa|
877|CECAFA Senior Challenge Cup|default|default|110|international|International cup|3|Africa|
898|Nile Basin Tournament|default|default|120|international|International cup|3|Africa|
228|WC Qualification Africa|default|default|20|international|International cup|3|Africa|
755|Caribbean Cup|default|default|7|international|International cup|4|N/C America|
704|CFU Club Championship|default|default|30|club|International cup|4|N/C America|
255|CONCACAF Champions League|default|default|21|club|International cup|4|N/C America|
247|CONCACAF Gold Cup|default|default|5|international|International cup|4|N/C America|
753|CONCACAF Nations Cup|default|default|11|international|International cup|4|N/C America|
749|CONCACAF U17|youth|youth|65|international|International cup|4|N/C America|
515|CONCACAF U20|youth|youth|41|international|International cup|4|N/C America|
751|CONCACAF Women's U17|women|women|57|international|International cup|4|N/C America|
750|CONCACAF Women's U20|women|women|45|international|International cup|4|N/C America|
510|Copa Centroamericana|default|default|6|international|International cup|4|N/C America|
784|Cup Winners Cup|default|default|66|club|International cup|4|N/C America|
754|Giants Cup|default|default|300|club|International cup|4|N/C America|
747|Olympic Qualifying CONCACAF|default|default|8|international|International cup|4|N/C America|
758|Pre-CONCACAF Championships|default|default|10|international|International cup|4|N/C America|
517|Super Liga|default|default|70|club|International cup|4|N/C America|
319|UNCAF Clubs Cup|default|default|131|club|International cup|4|N/C America|
227|WC Qualification CONCACAF|default|default|30|international|International cup|4|N/C America|
748|Women's Olympic Qualifying CONCACAF|women|women|770|international|International cup|4|N/C America|
742|Womens WC Qualification CONCACAF|women|women|111|international|International cup|4|N/C America|
288|Copa America|default|default|90|international|International cup|5|South America|
241|Copa Libertadores|default|default|50|club|International cup|5|South America|
770|Copa Libertadores Femenina|women|women|400|club|International cup|5|South America|
1038|Copa Libertadores U20|youth|youth|60|club|International cup|5|South America|
297|Copa Sudamericana|default|default|100|club|International cup|5|South America|
345|Recopa Sudamericana|default|default|120|club|International super cup|5|South America|
818|Sudamericano U17|youth|youth|220|international|International cup|5|South America|
1015|Sudamericano U17 Femenino|women|women|500|international|International cup|5|South America|
512|Sudamericano U20|youth|youth|200|international|International cup|5|South America|
1008|Sudamericano U20 Femenino|women|women|450|international|International cup|5|South America|
225|WC Qualification South-America|default|default|20|international|International cup|5|South America|
369|Womens WC Qualification South America|women|women|506|international|International cup|5|South America|
278|OFC Champions League|default|default|11|club|International cup|6|Oceania|
1041|OFC Nations Cup|default|default|300|international|International cup|6|Oceania|
900|OFC U17 Championship|youth|youth|15|international|International cup|6|Oceania|
925|OFC U20 Championship|youth|youth|13|international|International cup|6|Oceania|
947|Pacific Games|default|default|200|international|International cup|6|Oceania|
230|WC Qualification Oceania|default|default|60|international|International cup|6|Oceania|
483|Womens WC Qualification Oceania|women|women|510|international|International cup|6|Oceania|
902|Baltic Champions Cup|default|default|1001|club|International cup|7|Europe|
825|Baltic Cup|default|default|700|international|International cup|7|Europe|
539|Baltic League|default|default|999|club|International cup|7|Europe|
1057|BeNe League|women|women|0|club|Domestic league|7|Europe|
942|BeNe Super Cup|women|women|300|club|International super cup|7|Europe|
1000|EC Qualification|default|default|15|international|International cup|7|Europe|
25|European Championship|default|default|10|international|International cup|7|Europe|
895|Nations Cup|default|default|1000|international|International cup|7|Europe|
164|Scandinavian Royal League|default|default|121|club|International cup|7|Europe|
244|Setanta Cup|default|default|131|club|International cup|7|Europe|
977|The NextGen Series|youth|youth|400|club|International cup|7|Europe|
10|UEFA Champions League|default|default|20|club|International cup|7|Europe|
959|UEFA Cup Winners' Cup|default|default|35|club|International cup|7|Europe|
18|UEFA Europa League|default|default|30|club|International cup|7|Europe|
245|UEFA Intertoto Cup|default|default|50|club|International cup|7|Europe|
211|UEFA Super Cup|default|default|40|club|International super cup|7|Europe|
821|UEFA U17 Championship|youth|youth|350|international|International cup|7|Europe|
822|UEFA U17 Championship Women|women|women|90|international|International cup|7|Europe|
819|UEFA U19 Championship|youth|youth|240|international|International cup|7|Europe|
820|UEFA U19 Championship Women|women|women|30|international|International cup|7|Europe|
280|UEFA U21 Championship|youth|youth|140|international|International cup|7|Europe|
336|UEFA Women's Champions League|women|women|960|club|International cup|7|Europe|
268|UEFA Women's Championship|women|women|150|international|International cup|7|Europe|
