header|season_name|round_name|group_name|match_id|date|team_a|team_b|team_a_score|team_b_score|result_type|reg_result|final_result|match_details_url
Final|2012 Poland/Ukraine|Final||1063222|2012-07-01T18:45:00+00:00|Spain|Italy|4|0|R|A||/matches/2012/07/01/europe/european-championships/spain/italy/1063222/
Semi-finals|2012 Poland/Ukraine|Final||1063220|2012-06-27T18:45:00+00:00|Portugal|Spain|0|0|P|D|B|/matches/2012/06/27/europe/european-championships/portugal/spain/1063220/
Semi-finals|2012 Poland/Ukraine|Final||1063221|2012-06-28T18:45:00+00:00|Germany|Italy|1|2|R|B||/matches/2012/06/28/europe/european-championships/germany/italy/1063221/
Quarter-finals|2012 Poland/Ukraine|Final||1063216|2012-06-21T18:45:00+00:00|Czech Republic|Portugal|0|1|R|B||/matches/2012/06/21/europe/european-championships/czech-republic/portugal/1063216/
Quarter-finals|2012 Poland/Ukraine|Final||1063217|2012-06-22T18:45:00+00:00|Germany|Greece|4|2|R|A||/matches/2012/06/22/europe/european-championships/germany/greece/1063217/
Quarter-finals|2012 Poland/Ukraine|Final||1063218|2012-06-23T18:45:00+00:00|Spain|France|2|0|R|A||/matches/2012/06/23/europe/european-championships/spain/france/1063218/
Quarter-finals|2012 Poland/Ukraine|Final||1063219|2012-06-24T18:45:00+00:00|England|Italy|0|0|P|D|B|/matches/2012/06/24/europe/european-championships/england/italy/1063219/
Final|2012 Poland/Ukraine|Semi-finals||1063222|2012-07-01T18:45:00+00:00|Spain|Italy|4|0|R|A||/matches/2012/07/01/europe/european-championships/spain/italy/1063222/
Semi-finals|2012 Poland/Ukraine|Semi-finals||1063220|2012-06-27T18:45:00+00:00|Portugal|Spain|0|0|P|D|B|/matches/2012/06/27/europe/european-championships/portugal/spain/1063220/
Semi-finals|2012 Poland/Ukraine|Semi-finals||1063221|2012-06-28T18:45:00+00:00|Germany|Italy|1|2|R|B||/matches/2012/06/28/europe/european-championships/germany/italy/1063221/
Quarter-finals|2012 Poland/Ukraine|Semi-finals||1063216|2012-06-21T18:45:00+00:00|Czech Republic|Portugal|0|1|R|B||/matches/2012/06/21/europe/european-championships/czech-republic/portugal/1063216/
Quarter-finals|2012 Poland/Ukraine|Semi-finals||1063217|2012-06-22T18:45:00+00:00|Germany|Greece|4|2|R|A||/matches/2012/06/22/europe/european-championships/germany/greece/1063217/
Quarter-finals|2012 Poland/Ukraine|Semi-finals||1063218|2012-06-23T18:45:00+00:00|Spain|France|2|0|R|A||/matches/2012/06/23/europe/european-championships/spain/france/1063218/
Quarter-finals|2012 Poland/Ukraine|Semi-finals||1063219|2012-06-24T18:45:00+00:00|England|Italy|0|0|P|D|B|/matches/2012/06/24/europe/european-championships/england/italy/1063219/
Final|2012 Poland/Ukraine|Quarter-finals||1063222|2012-07-01T18:45:00+00:00|Spain|Italy|4|0|R|A||/matches/2012/07/01/europe/european-championships/spain/italy/1063222/
Semi-finals|2012 Poland/Ukraine|Quarter-finals||1063220|2012-06-27T18:45:00+00:00|Portugal|Spain|0|0|P|D|B|/matches/2012/06/27/europe/european-championships/portugal/spain/1063220/
Semi-finals|2012 Poland/Ukraine|Quarter-finals||1063221|2012-06-28T18:45:00+00:00|Germany|Italy|1|2|R|B||/matches/2012/06/28/europe/european-championships/germany/italy/1063221/
Quarter-finals|2012 Poland/Ukraine|Quarter-finals||1063216|2012-06-21T18:45:00+00:00|Czech Republic|Portugal|0|1|R|B||/matches/2012/06/21/europe/european-championships/czech-republic/portugal/1063216/
Quarter-finals|2012 Poland/Ukraine|Quarter-finals||1063217|2012-06-22T18:45:00+00:00|Germany|Greece|4|2|R|A||/matches/2012/06/22/europe/european-championships/germany/greece/1063217/
Quarter-finals|2012 Poland/Ukraine|Quarter-finals||1063218|2012-06-23T18:45:00+00:00|Spain|France|2|0|R|A||/matches/2012/06/23/europe/european-championships/spain/france/1063218/
Quarter-finals|2012 Poland/Ukraine|Quarter-finals||1063219|2012-06-24T18:45:00+00:00|England|Italy|0|0|P|D|B|/matches/2012/06/24/europe/european-championships/england/italy/1063219/
Matches|2012 Poland/Ukraine|Group stage|Group A|1063182|2012-06-08T16:00:00+00:00|Poland|Greece|1|1|R|D||/matches/2012/06/08/europe/european-championships/poland/greece/1063182/
Matches|2012 Poland/Ukraine|Group stage|Group A|1063183|2012-06-08T18:45:00+00:00|Russia|Czech Republic|4|1|R|A||/matches/2012/06/08/europe/european-championships/russia/czech-republic/1063183/
Matches|2012 Poland/Ukraine|Group stage|Group A|1063200|2012-06-12T16:00:00+00:00|Greece|Czech Republic|1|2|R|B||/matches/2012/06/12/europe/european-championships/greece/czech-republic/1063200/
Matches|2012 Poland/Ukraine|Group stage|Group A|1063201|2012-06-12T18:45:00+00:00|Poland|Russia|1|1|R|D||/matches/2012/06/12/europe/european-championships/poland/russia/1063201/
Matches|2012 Poland/Ukraine|Group stage|Group A|1063208|2012-06-16T18:45:00+00:00|Greece|Russia|1|0|R|A||/matches/2012/06/16/europe/european-championships/greece/russia/1063208/
Matches|2012 Poland/Ukraine|Group stage|Group A|1063209|2012-06-16T18:45:00+00:00|Czech Republic|Poland|1|0|R|A||/matches/2012/06/16/europe/european-championships/czech-republic/poland/1063209/
